"emp_id";"emp_name";"designation";"branch_id";"salary";"doj"
48;"Om Mody";"Manager";7332;141137.33;"2022-07-27"
49;"Charita Bains";"Cashier";15693;32240.65;"2024-08-09"
50;"Nakul Kade";"Manager";5614;116488.45;"2021-07-16"
51;"Lakshmi Bal";"Manager";49847;91588.27;"2021-08-18"
52;"Gauri Bhat";"Clerk";8415;107468.85;"2023-06-15"
53;"Shravya Palla";"Clerk";17371;90959.22;"2019-06-19"
54;"Samaksh Ahluwalia";"Officer";13881;141114.19;"2019-12-19"
55;"Suhani Parsa";"Clerk";46724;63964.54;"2020-07-24"
56;"Nirja Dass";"Cashier";28712;137451.76;"2024-09-27"
57;"Tanveer Iyer";"Officer";7931;55988.2;"2023-12-10"
58;"Gayathri Gole";"Manager";22157;27629.28;"2022-06-24"
59;"Nilima Pandit";"Clerk";38565;52527.17;"2023-06-18"
60;"Xavier Singh";"Manager";46390;103887.87;"2021-12-01"
61;"Anmol Ahluwalia";"Clerk";4418;138177.5;"2018-12-27"
62;"Aradhana Agate";"Cashier";4644;89269.51;"2024-09-01"
63;"Ranveer Mitra";"Cashier";43843;85676.81;"2023-05-13"
64;"Tarak Roy";"Clerk";47406;141939.28;"2018-12-05"
65;"Aashi Virk";"Officer";15926;123077.43;"2025-05-22"
66;"Hredhaan Gulati";"Officer";12479;36790.72;"2021-05-14"
67;"Chaitanya Gulati";"Officer";23220;77947.33;"2022-03-23"
68;"Triya Narang";"Officer";47781;31771.4;"2024-06-07"
69;"Yauvani Ramesh";"Manager";3973;75327.66;"2022-08-21"
70;"Zaid Chand";"Cashier";7162;56082.04;"2022-12-22"
71;"Jatin Vasa";"Clerk";35147;81076.69;"2023-09-08"
72;"Azad Pant";"Officer";12026;59818.14;"2024-06-29"
73;"Maanav Solanki";"Clerk";4941;80391.34;"2018-08-06"
74;"Tristan Mahal";"Manager";3316;106518.11;"2022-02-09"
75;"Zinal Sachar";"Manager";6113;140795.87;"2018-05-14"
76;"Girindra Vora";"Clerk";10900;75801.76;"2022-07-30"
77;"Chandresh Sem";"Officer";14009;133081.3;"2020-06-12"
78;"Peter Dhar";"Manager";10790;72371.64;"2023-05-15"
79;"Netra Contractor";"Officer";17381;140814.76;"2024-12-20"
80;"Zilmil Soman";"Officer";18695;77875.94;"2018-09-30"
81;"Chaitanya Gandhi";"Officer";10145;48737.23;"2024-12-11"
82;"Aradhana Maharaj";"Clerk";3833;97397.54;"2022-08-12"
83;"Wakeeta Gill";"Manager";49020;64200.6;"2022-01-04"
84;"Sai Bajwa";"Manager";38285;84598.56;"2022-12-21"
85;"Brinda Gaba";"Clerk";3728;145097.36;"2018-06-05"
86;"Siya Sule";"Manager";12179;33565.17;"2024-08-24"
87;"Yashawini Sabharwal";"Manager";44251;132727.4;"2022-06-25"
88;"Oscar Radhakrishnan";"Officer";7857;142699.52;"2020-04-16"
89;"Nikita Saraf";"Clerk";37941;99314.89;"2019-11-23"
90;"Bhavini Kara";"Manager";27475;107171.65;"2021-06-21"
91;"Kamala Hari";"Cashier";17090;50532.4;"2024-12-16"
92;"Indira Kata";"Cashier";15643;58201.81;"2020-10-10"
93;"Neelima Minhas";"Clerk";44020;105687.6;"2024-02-23"
94;"Chaitaly Dara";"Officer";20721;141127.29;"2021-11-25"
95;"Kalpit Om";"Manager";611;82285.69;"2023-10-18"
96;"Girish Hayre";"Manager";4802;92204.3;"2023-02-16"
97;"Yashodhara Batta";"Cashier";8681;141657.42;"2019-09-28"
98;"Ranbir Ramanathan";"Manager";16010;71190.89;"2022-02-05"
99;"Akshay Shukla";"Clerk";28717;129218.12;"2020-12-28"
100;"Quincy Buch";"Cashier";40087;147981.66;"2024-04-07"
101;"Darika Bhargava";"Manager";43770;127138.02;"2024-12-11"
102;"Darpan Tripathi";"Cashier";43476;37948.31;"2020-02-24"
103;"Ekansh Borde";"Clerk";17333;39428.58;"2022-02-10"
104;"Zansi Chada";"Manager";48656;94152.96;"2020-03-13"
105;"Upma Mani";"Cashier";18466;100603.73;"2025-01-29"
106;"Advay Verma";"Cashier";13343;110937.14;"2025-09-08"
107;"Pavani Sur";"Cashier";33123;86066.48;"2020-12-18"
108;"Wahab Sane";"Manager";6049;104285.56;"2019-03-15"
109;"Radhika Bhatnagar";"Cashier";2890;25443.21;"2022-07-05"
110;"Mitali Pandey";"Clerk";41754;147474.74;"2021-05-19"
111;"Omisha Dutt";"Clerk";48578;80229.44;"2024-05-31"
112;"Vrinda Gour";"Officer";36760;26208.71;"2018-05-03"
113;"Pushti Kade";"Manager";45287;137991.07;"2021-06-13"
114;"Anay Balakrishnan";"Manager";24197;97813.7;"2022-07-14"
115;"Ira Sur";"Clerk";28167;40930.69;"2023-11-20"
116;"Rachita Pingle";"Cashier";23898;137372.69;"2023-10-27"
117;"Jeevika Varghese";"Manager";23450;51259.57;"2024-05-05"
118;"Damyanti Patel";"Clerk";43709;37849.2;"2019-05-22"
119;"Zashil Nath";"Officer";40676;118684.7;"2023-06-10"
120;"Samesh Yadav";"Clerk";10650;147025.75;"2021-10-17"
121;"Yashica Misra";"Clerk";27021;28098.3;"2024-10-17"
122;"Vritti Kashyap";"Cashier";26983;125279.39;"2021-11-26"
123;"Gautam Walla";"Clerk";17486;44899.73;"2018-07-22"
124;"Wakeeta Deshmukh";"Manager";25071;134020.85;"2021-04-04"
125;"Chakradev Mani";"Officer";14578;49946.6;"2022-09-24"
126;"Hamsini Thakkar";"Officer";22916;63148.86;"2023-01-22"
127;"Farhan Rege";"Clerk";14610;27958.05;"2019-05-12"
128;"Wriddhish Raja";"Clerk";26114;66032.74;"2025-03-10"
129;"Aadhya Pillay";"Manager";18293;68893.27;"2019-11-26"
130;"Lipika Dugal";"Officer";44533;147643.71;"2022-07-18"
131;"Jatin Mohan";"Cashier";1809;39417.72;"2021-02-17"
132;"Avi Prabhu";"Cashier";11703;97573.72;"2018-06-29"
133;"Megha Sani";"Cashier";2508;38550.32;"2020-01-01"
134;"Sudiksha Handa";"Officer";22655;116068.13;"2023-06-24"
135;"Rohan Koshy";"Cashier";28600;100776.11;"2021-08-30"
136;"Ayaan Sachar";"Manager";25245;137438.09;"2025-09-19"
137;"Akshay Sahota";"Clerk";16694;30548.32;"2020-01-23"
138;"Warda Gokhale";"Officer";111;89990.04;"2024-05-16"
139;"Sathvik Mane";"Clerk";23870;78912.17;"2018-06-23"
140;"Amol Borra";"Cashier";40840;64239.46;"2025-08-31"
141;"Januja Thaman";"Manager";47170;137505.85;"2020-01-13"
142;"Forum Mannan";"Cashier";43706;76049.11;"2023-11-22"
143;"Chavvi Som";"Officer";45693;61956.9;"2019-07-25"
144;"Idika Ghosh";"Clerk";12573;77555.79;"2025-01-15"
145;"Bina Mann";"Officer";44389;118516.82;"2019-04-26"
146;"Warinder Batra";"Clerk";40339;96138.16;"2023-04-02"
147;"William Parikh";"Officer";35910;129215.65;"2022-05-14"
148;"Nikita Pradhan";"Cashier";18804;51272.84;"2019-12-19"
149;"Daksh Sabharwal";"Cashier";30474;80223.25;"2020-09-01"
150;"Tarak Murthy";"Clerk";33501;84148.27;"2019-10-25"
151;"Gautami Dugar";"Clerk";43179;35599.44;"2020-05-20"
152;"Tanvi Memon";"Cashier";6121;127302.93;"2024-03-12"
153;"Chakradhar Bakshi";"Clerk";44093;63802.43;"2024-05-27"
154;"Harish Chakraborty";"Clerk";9657;28053.17;"2021-04-20"
155;"Mitesh Buch";"Clerk";31139;101409.25;"2024-03-07"
156;"Kamya Nadkarni";"Manager";29847;76805.13;"2021-10-24"
157;"Girik Bhakta";"Clerk";47078;112044.28;"2025-05-06"
158;"Charles Kalita";"Officer";26192;55498.05;"2025-03-26"
159;"Hemang Biswas";"Manager";49216;132555.07;"2025-08-24"
160;"Tristan Thaman";"Manager";27863;52355.14;"2022-11-06"
161;"Sai Mutti";"Officer";3292;94675.72;"2024-06-29"
162;"Mitesh Khare";"Manager";29915;41667.39;"2020-06-22"
163;"Lila Narasimhan";"Officer";43751;91391.49;"2017-12-29"
164;"Oni Sahota";"Cashier";49497;136428.24;"2025-10-19"
165;"Agastya Sami";"Officer";35906;80739.2;"2021-09-08"
166;"Xiti Comar";"Clerk";48737;132686.86;"2019-10-29"
167;"Samesh Rege";"Officer";16987;118972.1;"2019-07-05"
168;"Vedant Deol";"Cashier";34164;85574.63;"2023-10-03"
169;"Qasim Rana";"Clerk";17997;79984.07;"2018-09-21"
170;"Viraj Seshadri";"Cashier";15368;58964.39;"2018-11-20"
171;"Vaishnavi Raman";"Cashier";35400;35072.21;"2024-12-07"
172;"Bhanumati Walla";"Clerk";15156;72879.41;"2020-11-21"
173;"Henry Kapoor";"Clerk";46296;51744.11;"2019-12-02"
174;"Dalaja Dyal";"Officer";26713;66360.17;"2018-03-18"
175;"Hitesh Swamy";"Officer";27249;32783.21;"2021-05-22"
176;"Gaurangi Solanki";"Officer";25525;138104.81;"2024-07-22"
177;"Vanya Iyengar";"Manager";37729;72547.63;"2022-04-03"
178;"Yuvraj Rastogi";"Manager";23053;62326.58;"2021-11-21"
179;"Bakhshi Gala";"Officer";27461;92277.57;"2025-01-02"
180;"Nihal Behl";"Clerk";31997;52427.7;"2022-01-23"
181;"Advik Goel";"Officer";31828;28628.1;"2020-08-31"
182;"Hemani Ratta";"Cashier";43836;109892.74;"2020-03-08"
183;"Max Shah";"Officer";47460;45630.59;"2020-11-14"
184;"Chaaya Vora";"Officer";8365;147590.25;"2019-03-20"
185;"Vincent Nagy";"Manager";25823;98986.6;"2023-09-28"
186;"Jatin Anne";"Manager";5502;105343.71;"2022-08-03"
187;"Vrishti Arora";"Clerk";30258;47716.13;"2019-12-09"
188;"Wahab Gour";"Cashier";24845;65919.08;"2025-02-04"
189;"Pooja Bawa";"Officer";21421;67187.57;"2021-11-01"
190;"Janaki Butala";"Officer";18236;119001.23;"2025-07-01"
191;"Ekaja Dhingra";"Officer";16533;129363.86;"2018-04-21"
192;"Jackson Sami";"Officer";1271;118628.03;"2021-03-31"
193;"Warhi Tandon";"Manager";22936;53027.77;"2024-10-31"
194;"Aryan Shere";"Manager";42714;30032.27;"2021-12-11"
195;"Reva Dani";"Manager";16206;49920.09;"2025-08-01"
196;"Zayyan Thakkar";"Manager";40720;44047.79;"2023-03-27"
197;"Vihaan Kala";"Clerk";31036;108682.36;"2021-08-31"
198;"Krishna Dhaliwal";"Clerk";30477;112433.12;"2018-05-07"
199;"Irya Sundaram";"Cashier";10997;100736.59;"2020-06-25"
200;"Jacob Sandal";"Manager";10733;145590.1;"2018-12-31"
201;"Amrita Naidu";"Manager";37925;28209.8;"2025-01-06"
202;"Orinder Tak";"Cashier";37736;109668.41;"2019-12-21"
203;"Jeevika Dave";"Officer";25996;142683.82;"2024-02-24"
204;"Maanav Palla";"Clerk";4981;99012.23;"2024-06-13"
205;"Suhani Raman";"Clerk";6679;112149.13;"2020-09-18"
206;"Triya Mani";"Cashier";44844;100051.45;"2020-07-28"
207;"Champak Karan";"Manager";37089;122829.42;"2018-09-06"
208;"Odika Golla";"Cashier";34914;78547.25;"2018-06-16"
209;"Lajita Shanker";"Cashier";4520;88245.1;"2018-07-24"
210;"Charita Suri";"Cashier";830;131196.95;"2023-11-08"
211;"Theodore Hans";"Officer";6917;79190.43;"2018-06-21"
212;"Daniel Venkatesh";"Cashier";41654;136446.88;"2021-06-07"
213;"Orinder Chacko";"Officer";46355;44123.89;"2024-04-21"
214;"Unnati Viswanathan";"Clerk";48091;90218.34;"2025-11-15"
215;"Mugdha Mander";"Cashier";40365;126024.9;"2025-04-29"
216;"Bachittar Nayar";"Officer";30466;79446.81;"2017-12-09"
217;"Geetika Pandit";"Cashier";21123;131464.15;"2022-11-10"
218;"Daniel Hayer";"Manager";18280;135203.9;"2018-09-14"
219;"Christopher Savant";"Clerk";49184;83088.56;"2023-09-12"
220;"Tanay Bobal";"Officer";22047;28587.5;"2025-08-12"
221;"Meera Ahuja";"Cashier";11918;85943.74;"2023-03-22"
222;"Advik Pradhan";"Cashier";16932;67542.36;"2018-11-17"
223;"Balvan Chopra";"Cashier";36425;26268.89;"2019-07-31"
224;"Siddharth Datta";"Clerk";5611;55169.51;"2022-10-02"
225;"Priya Panchal";"Officer";32020;94397.03;"2021-04-25"
226;"Inaya Mangat";"Clerk";45260;84511.64;"2025-08-18"
227;"Deepa Chakrabarti";"Officer";29372;124116.61;"2022-10-23"
228;"Vedhika Dugal";"Manager";19284;52699.55;"2019-08-31"
229;"Maanav Chada";"Clerk";20068;107995.0;"2022-12-24"
230;"Matthew Zacharia";"Cashier";31016;94184.12;"2021-05-01"
231;"Arjun Aurora";"Cashier";27886;149578.93;"2023-04-26"
232;"Shivani Pandey";"Cashier";23057;112856.87;"2019-03-03"
233;"Ekta Sane";"Cashier";20095;56425.46;"2024-02-20"
234;"Gabriel Sengupta";"Manager";47271;49073.04;"2024-04-25"
235;"Hritik Bedi";"Manager";48686;91983.0;"2020-03-26"
236;"Panini Choudhury";"Clerk";12553;52048.08;"2025-03-12"
237;"Sai Rama";"Officer";18121;115573.13;"2025-08-26"
238;"Ethan Dani";"Cashier";6589;129078.55;"2020-01-22"
239;"Yadavi Sampath";"Cashier";14909;70110.13;"2021-07-22"
240;"Vedhika Sachdeva";"Cashier";928;113502.31;"2017-12-31"
241;"Reva Som";"Clerk";17978;30689.46;"2021-02-08"
242;"Mohini Nagi";"Manager";36265;61517.08;"2022-10-30"
243;"Ira Garde";"Clerk";41804;133557.65;"2019-04-25"
244;"Bhavna Sood";"Officer";6724;134089.97;"2021-05-25"
245;"Amrita Ganesan";"Cashier";30763;84839.28;"2025-07-03"
246;"Panini Pant";"Cashier";12083;145687.21;"2025-07-14"
247;"Jeevika Setty";"Cashier";31309;39260.89;"2023-10-13"
248;"Gautami Tella";"Manager";26261;86468.32;"2020-04-23"
249;"Hema Savant";"Manager";9944;43649.7;"2025-03-31"
250;"Dhruv Taneja";"Cashier";5583;149239.77;"2025-04-14"
251;"Amrita Gill";"Manager";36574;120555.43;"2020-08-25"
252;"Robert Gokhale";"Clerk";34248;72547.25;"2025-03-03"
253;"Vedant Kapadia";"Officer";19488;132520.83;"2018-12-21"
254;"Wakeeta Rattan";"Officer";20014;96078.68;"2022-07-10"
255;"Lekha Tata";"Manager";39953;145013.6;"2019-01-18"
256;"Utkarsh Mahal";"Manager";49987;50973.49;"2025-02-01"
257;"Warjas Iyer";"Clerk";17344;107553.52;"2021-07-18"
258;"Dev Ghose";"Clerk";15720;46726.69;"2021-08-14"
259;"Aarush Ben";"Manager";10259;25334.47;"2018-07-06"
260;"Geetika Bawa";"Officer";45179;99226.4;"2018-02-22"
261;"Zayan Dua";"Cashier";2140;53934.53;"2018-06-15"
262;"Nitesh Reddy";"Cashier";46071;132450.84;"2025-07-24"
263;"Aachal Kapur";"Manager";45049;54177.98;"2018-12-08"
264;"Isha Khatri";"Cashier";40964;98723.7;"2018-04-23"
265;"Brijesh Chatterjee";"Clerk";27862;39347.04;"2020-02-03"
266;"Aarnav Bhasin";"Clerk";42444;43623.68;"2023-09-19"
267;"Janaki D’Alia";"Cashier";9322;33926.23;"2018-02-22"
268;"Wriddhish Dyal";"Clerk";20160;99380.5;"2019-09-13"
269;"Reva Sekhon";"Cashier";28781;40544.21;"2022-05-21"
270;"Lohit Puri";"Cashier";45858;75313.56;"2024-06-23"
271;"Lucky Lata";"Cashier";32799;92497.7;"2018-01-11"
272;"Pallavi Iyengar";"Officer";5272;99754.58;"2018-04-25"
273;"Urvi Dasgupta";"Officer";48139;65290.2;"2021-06-07"
274;"Abeer Nagy";"Cashier";1696;36415.86;"2018-08-16"
275;"Upma Grover";"Manager";44059;127677.66;"2024-08-11"
276;"Radha Bobal";"Manager";49563;46898.84;"2022-06-21"
277;"Megha Parikh";"Officer";18230;47686.14;"2022-09-30"
278;"Vritti Balan";"Officer";41602;126780.62;"2025-06-12"
279;"Yashodhara Char";"Manager";30803;68495.13;"2024-04-08"
280;"Ekani Lala";"Cashier";21041;108766.69;"2019-11-19"
281;"Unnati Sachdeva";"Clerk";21615;76455.64;"2018-03-23"
282;"Amrita Yogi";"Officer";18889;107822.94;"2022-05-09"
283;"Rajata Kala";"Officer";49841;93762.08;"2020-04-14"
284;"Hitesh Varughese";"Officer";5772;64314.64;"2020-12-09"
285;"Azaan Wali";"Cashier";7598;146273.09;"2022-02-19"
286;"Vivaan D’Alia";"Officer";33725;128115.9;"2018-03-15"
287;"Maanas Shere";"Manager";43101;133670.94;"2025-06-22"
288;"Bishakha Shan";"Officer";27083;31775.51;"2018-03-31"
289;"Veda Natarajan";"Cashier";40805;119555.39;"2023-03-30"
290;"Advay Sahota";"Officer";49807;31451.47;"2025-05-01"
291;"Sai Comar";"Cashier";35994;41376.65;"2021-04-05"
292;"Karan Gill";"Cashier";28713;135105.83;"2019-10-28"
293;"Advik Kota";"Officer";7958;28608.68;"2021-08-24"
294;"Zaid Sankaran";"Clerk";46517;44797.27;"2022-12-22"
295;"Omkaar Prabhakar";"Manager";36193;75998.84;"2024-03-04"
296;"Timothy Narayan";"Clerk";7436;82680.99;"2023-01-13"
297;"David Setty";"Manager";42449;129017.9;"2024-08-14"
298;"Isaac Narayan";"Officer";46964;61482.7;"2018-09-26"
299;"Jyoti Bera";"Cashier";27230;129340.49;"2023-10-18"
300;"Mohini Barman";"Officer";15974;82098.31;"2018-01-22"
301;"Aarnav Pau";"Clerk";25139;48826.3;"2024-11-08"
302;"Janaki Tak";"Clerk";4576;59530.93;"2023-10-21"
303;"Vihaan Manne";"Officer";22275;141781.05;"2021-11-25"
304;"Dalaja Swaminathan";"Cashier";169;60354.87;"2019-06-19"
305;"Rajata Garde";"Cashier";38466;97490.42;"2020-02-21"
306;"Tara Radhakrishnan";"Officer";9739;80818.42;"2021-06-24"
307;"Kavya Hayer";"Officer";22619;66554.99;"2024-03-13"
308;"Pranit Lata";"Officer";29842;141606.53;"2024-04-18"
309;"Vincent Sachdev";"Clerk";45712;54850.69;"2022-11-19"
310;"Lopa Ramanathan";"Officer";15307;132001.62;"2024-01-23"
311;"Manthan Bains";"Officer";2861;64772.04;"2023-07-02"
312;"Neha Balan";"Officer";46218;139178.77;"2025-06-09"
313;"Ekaraj Devan";"Officer";25303;148551.75;"2022-07-17"
314;"Harini Sunder";"Clerk";32462;145603.05;"2021-12-25"
315;"Lakshmi Sem";"Clerk";32919;145669.2;"2021-04-17"
316;"Unnati Keer";"Cashier";6578;134273.8;"2025-10-12"
317;"Lajita Dave";"Officer";6535;90743.89;"2020-02-02"
318;"Yauvani Barad";"Officer";1006;115305.48;"2022-10-10"
319;"Osha Khosla";"Officer";42912;146244.6;"2021-10-26"
320;"Jason Kapur";"Manager";30769;122690.66;"2024-07-25"
321;"Panini Vora";"Cashier";22188;102907.43;"2018-09-20"
322;"Anay Wable";"Officer";42588;35039.42;"2023-11-26"
323;"Dhruv Nayar";"Cashier";44195;132417.77;"2018-01-25"
324;"Ijaya Bir";"Officer";20753;103349.9;"2022-11-02"
325;"Chakradhar Dubey";"Officer";35457;29487.39;"2022-01-30"
326;"Jalsa Kibe";"Manager";15386;103895.13;"2020-10-11"
327;"Nilima Narain";"Cashier";14909;118345.8;"2020-02-24"
328;"Omkaar Khare";"Officer";6452;120046.21;"2022-01-03"
329;"Finn Bumb";"Manager";29077;45795.6;"2025-04-15"
330;"Hardik Sunder";"Cashier";1898;30748.87;"2023-12-26"
331;"Kashvi Lanka";"Manager";19227;69807.92;"2018-07-11"
332;"Jeevika Jha";"Officer";9541;55524.68;"2023-03-10"
333;"Aahana Andra";"Officer";37089;110225.05;"2019-11-23"
334;"Lajita Bora";"Clerk";11141;46883.67;"2020-03-04"
335;"Karan Chaudhary";"Officer";40614;110391.82;"2021-08-17"
336;"Chanchal Bahl";"Officer";38218;42889.72;"2019-10-11"
337;"Vedika Barad";"Officer";41806;56747.17;"2020-12-07"
338;"Yahvi Bali";"Cashier";43703;26174.68;"2021-05-21"
339;"Anjali Sagar";"Officer";18851;109701.36;"2022-07-08"
340;"Jason Wali";"Clerk";4841;80216.22;"2020-08-29"
341;"Inaya Gopal";"Cashier";38508;62394.28;"2022-07-09"
342;"Megha Tripathi";"Officer";45241;56262.28;"2024-09-24"
343;"Sara Lalla";"Cashier";13056;149921.7;"2021-04-26"
344;"Frado Dutta";"Officer";6990;54650.71;"2019-01-16"
345;"Vasatika Parikh";"Cashier";37671;61984.05;"2021-09-25"
346;"Jack Lata";"Cashier";1438;147243.06;"2024-10-17"
347;"Ridhi Mallick";"Officer";17989;26012.25;"2020-02-05"
348;"Chavvi Kumar";"Manager";39742;118146.52;"2023-02-10"
349;"Nihal Khare";"Cashier";15082;100883.12;"2018-01-16"
350;"Veer Ramanathan";"Cashier";14353;104577.23;"2020-11-12"
351;"Anita Buch";"Cashier";44418;119447.17;"2025-07-14"
352;"Shravya Maharaj";"Clerk";41173;37145.49;"2018-10-25"
353;"Ekansh Karan";"Manager";20247;123576.31;"2018-03-25"
354;"Yoshita Manne";"Manager";37983;70607.65;"2019-04-12"
355;"Ekanta Choudhary";"Clerk";5907;138703.48;"2021-07-02"
356;"Zarna Sandal";"Cashier";48987;76937.89;"2022-04-18"
357;"Vrinda Hans";"Clerk";8662;123314.1;"2021-09-11"
358;"Lopa Khanna";"Cashier";34790;87724.35;"2024-08-14"
359;"Gautami Dasgupta";"Cashier";10784;57121.26;"2024-05-07"
360;"Harshil Sawhney";"Officer";19343;118319.92;"2018-12-21"
361;"Abhimanyu Bakshi";"Cashier";7548;83541.42;"2018-12-31"
362;"Peter Ahluwalia";"Manager";9225;119268.94;"2021-08-06"
363;"Harini Saini";"Clerk";44324;115527.09;"2023-10-22"
364;"Bachittar Joshi";"Officer";36525;70721.88;"2019-01-16"
365;"Warinder Doshi";"Officer";913;58057.32;"2024-01-23"
366;"Ishani Majumdar";"Manager";29805;71073.21;"2021-10-27"
367;"Advik Kuruvilla";"Cashier";38310;72628.19;"2019-07-27"
368;"Onveer Rastogi";"Cashier";7101;109354.57;"2023-08-20"
369;"Kiaan Tripathi";"Officer";1641;102443.36;"2025-06-29"
370;"Charan Bahri";"Cashier";39983;52670.9;"2024-06-27"
371;"Nidhi Kothari";"Manager";41642;127981.92;"2022-07-29"
372;"Karan Zacharia";"Cashier";42549;76036.98;"2021-11-25"
373;"Saanvi Mane";"Clerk";2972;143282.69;"2025-09-03"
374;"Mason Kalita";"Cashier";32285;39515.06;"2019-03-18"
375;"Unni Parekh";"Clerk";35229;41958.01;"2025-08-29"
376;"Brinda Gour";"Officer";24315;108810.78;"2020-05-02"
377;"Tripti Nori";"Officer";38492;117783.63;"2018-12-12"
378;"Ayush More";"Clerk";27190;106865.24;"2024-12-12"
379;"Zaid Sane";"Officer";40348;76014.49;"2024-12-12"
380;"Oliver Kannan";"Cashier";2145;111285.08;"2022-03-20"
381;"Tanvi Dara";"Clerk";29058;80586.98;"2019-03-15"
382;"Kabir Rau";"Clerk";23769;37419.33;"2020-03-17"
383;"Widisha Borah";"Cashier";35683;137712.03;"2021-12-13"
384;"Deepa Setty";"Cashier";3969;74767.46;"2025-08-16"
385;"Balendra Ravi";"Clerk";8006;143626.35;"2020-02-12"
386;"Jatin Raghavan";"Officer";6008;107846.09;"2019-05-25"
387;"Dayamai Manda";"Manager";3315;123349.32;"2020-04-22"
388;"Pahal Tata";"Clerk";8253;123372.26;"2020-05-25"
389;"Ishita Shah";"Clerk";4497;128727.23;"2018-04-29"
390;"Naksh Agate";"Clerk";38430;51993.92;"2023-04-06"
391;"Ekiya Kumar";"Clerk";21533;121796.07;"2018-05-31"
392;"Unni Khurana";"Manager";18172;132300.77;"2020-12-16"
393;"Kritika Kothari";"Clerk";8520;92526.93;"2022-09-07"
394;"Reyansh Thakur";"Clerk";7205;107632.21;"2019-09-21"
395;"Adya Karnik";"Manager";8638;26857.54;"2020-08-24"
396;"Priya Manne";"Clerk";38592;65471.43;"2020-08-10"
397;"Ekansh Atwal";"Clerk";17392;31549.88;"2025-01-18"
398;"Lucky Reddy";"Officer";34478;39206.16;"2023-06-18"
399;"Chakrika Balan";"Manager";31212;81034.4;"2019-11-14"
400;"Priya Dutt";"Cashier";33636;99208.25;"2024-05-28"
401;"Arunima Kari";"Officer";33020;52693.72;"2021-08-08"
402;"Jagrati Karan";"Manager";47661;122903.37;"2025-05-07"
403;"Gagan Shenoy";"Cashier";30019;105417.59;"2024-03-02"
404;"David Sani";"Manager";3987;149823.34;"2018-04-27"
