"card_id";"customer_id";"card_type";"card_number";"expiry_date";"cvv"
190;9015;"Credit";"347692576932095";"2029-10-13";"437"
191;25411;"Credit";"676160136260";"2026-03-25";"955"
192;33362;"Credit";"375044773496083";"2030-11-20";"668"
193;4576;"Credit";"6568501541112866";"2026-03-16";"383"
194;28290;"Debit";"30165411829455";"2029-02-06";"736"
195;41534;"Debit";"6011851572032803";"2029-12-14";"337"
196;31690;"Credit";"3577588554759598";"2029-08-04";"748"
197;4015;"Credit";"3552434338409656";"2026-09-22";"923"
198;41765;"Debit";"4467078654333271";"2027-02-24";"647"
199;36267;"Credit";"30253526209217";"2029-04-29";"273"
200;5270;"Credit";"4092083275103593";"2029-02-06";"160"
201;46890;"Debit";"3529136354743187";"2026-02-10";"199"
202;33467;"Credit";"180046216897905";"2030-01-11";"839"
203;13254;"Credit";"36053552168145";"2027-06-07";"901"
204;28539;"Debit";"6518805592356350";"2028-10-11";"500"
205;7481;"Debit";"38783436265083";"2029-03-07";"970"
206;38339;"Debit";"3513676028838960";"2028-06-19";"706"
207;4802;"Credit";"4496492201245075";"2027-01-05";"900"
208;1916;"Debit";"2248268815846242";"2026-07-30";"692"
209;26631;"Debit";"340334327710820";"2027-10-17";"856"
210;34962;"Credit";"372852992602270";"2029-08-16";"716"
211;33941;"Debit";"2248154630294042";"2027-08-06";"859"
212;512;"Debit";"371286589240916";"2028-06-05";"538"
213;15750;"Debit";"213137745964190";"2027-11-16";"351"
214;28210;"Debit";"372490488513907";"2030-02-16";"998"
215;36303;"Debit";"4076130734580683780";"2030-07-22";"958"
216;13315;"Credit";"4451179331047";"2029-11-30";"810"
217;27917;"Debit";"4575526060681658";"2030-11-01";"271"
218;20408;"Debit";"6011488612677907";"2029-10-21";"466"
219;29342;"Debit";"375387884118421";"2027-08-07";"457"
220;19893;"Debit";"676171963751";"2028-02-04";"319"
221;33009;"Debit";"4118079742249";"2025-12-09";"871"
222;40794;"Debit";"348004085673823";"2027-10-27";"761"
223;46681;"Credit";"4163173115565267886";"2026-08-27";"252"
224;12530;"Credit";"180054966855362";"2029-02-24";"414"
225;5037;"Debit";"4447538132674732";"2026-01-11";"168"
226;22229;"Debit";"3510136078308581";"2028-05-20";"851"
227;37165;"Credit";"2293243694612076";"2028-10-11";"124"
228;14499;"Debit";"4108099277186228493";"2026-03-01";"966"
229;18401;"Credit";"4572642056513";"2030-01-06";"737"
230;23305;"Credit";"4770728425538002";"2026-09-10";"961"
231;33554;"Debit";"30057305269312";"2028-04-13";"794"
232;33054;"Debit";"4159806534010310";"2029-02-06";"910"
233;20055;"Debit";"349912671303705";"2030-06-24";"722"
234;5967;"Credit";"4523355951798220";"2028-07-03";"840"
235;18165;"Credit";"630426342030";"2029-12-22";"498"
236;31485;"Debit";"4572068236170855";"2026-07-17";"478"
237;16808;"Debit";"2277896604029010";"2030-06-06";"544"
238;33744;"Debit";"6584991481481209";"2028-10-07";"776"
239;39103;"Debit";"213147850666928";"2026-06-06";"995"
240;26153;"Debit";"4807012877421307";"2026-08-15";"153"
241;43151;"Credit";"3522827165049049";"2030-02-17";"688"
242;37318;"Credit";"36082577880079";"2029-08-28";"215"
243;10238;"Credit";"3541886810982498";"2029-07-27";"916"
244;29242;"Credit";"3567900332625201";"2026-04-07";"358"
245;5838;"Debit";"2244665414359374";"2028-12-18";"430"
246;36864;"Credit";"6591011377214134";"2029-08-28";"222"
247;21745;"Debit";"3511312775971539";"2029-06-30";"227"
248;20923;"Debit";"180044103961017";"2028-08-18";"253"
249;33470;"Debit";"6011871256178748";"2029-11-28";"254"
250;20681;"Credit";"4459653436844";"2029-04-27";"395"
251;31141;"Debit";"6521513848710678";"2029-03-29";"418"
252;32290;"Credit";"371866155731768";"2028-04-07";"413"
253;20469;"Debit";"6011668781455652";"2026-11-22";"439"
254;6155;"Credit";"4633180057927169";"2030-02-17";"460"
255;32216;"Debit";"373355684835686";"2029-06-24";"971"
256;4516;"Credit";"4189944735335600";"2028-07-16";"256"
257;47042;"Debit";"2720524506933385";"2027-11-18";"371"
258;48886;"Credit";"2610303576069807";"2026-04-17";"551"
259;10918;"Credit";"4346217577275524196";"2025-12-25";"413"
260;5127;"Debit";"2565111919857464";"2027-03-30";"529"
261;29319;"Debit";"213191064527526";"2026-12-07";"994"
262;28166;"Credit";"3599856972496869";"2028-07-24";"745"
263;43639;"Debit";"30237143602300";"2028-12-04";"261"
264;3808;"Debit";"4461457949712435284";"2030-05-11";"428"
265;22107;"Credit";"349285508798318";"2026-12-04";"977"
266;394;"Credit";"180040042199008";"2029-01-01";"835"
267;5946;"Debit";"2225840158978829";"2029-03-30";"670"
268;34774;"Debit";"4989568727665351";"2027-06-29";"206"
269;43182;"Debit";"370103133540389";"2030-01-17";"510"
270;44335;"Credit";"180029189548465";"2027-08-22";"859"
271;37160;"Debit";"4827272324461589";"2028-09-19";"263"
272;35778;"Credit";"4056004125638822";"2030-08-28";"173"
273;49477;"Debit";"6011829897665176";"2029-03-11";"762"
274;19945;"Debit";"4433568940646792";"2027-09-23";"237"
275;33859;"Debit";"2242045447652115";"2026-02-04";"646"
276;40869;"Debit";"5421786457804387";"2029-12-13";"320"
277;37194;"Credit";"4531591150105385429";"2030-06-27";"147"
278;43763;"Debit";"4979588831081355595";"2028-04-23";"792"
279;19205;"Debit";"3560497115955506";"2029-03-01";"469"
280;33328;"Credit";"4888868111562";"2025-12-30";"523"
281;37228;"Debit";"3524258812056492";"2027-06-30";"966"
282;38454;"Credit";"6011000748580002";"2027-11-22";"132"
283;7446;"Credit";"2229250125468969";"2026-08-06";"528"
284;29915;"Credit";"2579771263877758";"2028-01-20";"647"
285;32983;"Credit";"2469737423649919";"2030-10-15";"984"
286;35940;"Debit";"38372872793806";"2026-06-14";"852"
287;39964;"Debit";"4656902314025";"2028-05-23";"338"
288;29669;"Debit";"676308477568";"2026-07-10";"336"
289;16168;"Debit";"343778080722959";"2030-03-29";"801"
290;28678;"Credit";"4330534308363903";"2029-12-23";"405"
291;8649;"Credit";"2274342234418011";"2030-09-16";"922"
292;20508;"Credit";"3510073945867590";"2028-07-26";"882"
293;22667;"Debit";"2601819356151482";"2027-08-23";"154"
294;48511;"Debit";"3561715446410753";"2026-07-07";"660"
295;42503;"Debit";"4376222483783243785";"2027-03-25";"490"
296;23928;"Credit";"675929188679";"2026-03-22";"320"
297;4733;"Credit";"6505934172576784";"2028-05-17";"863"
298;46919;"Credit";"4464285086321682";"2028-02-06";"304"
299;14018;"Debit";"3559276319132150";"2027-02-06";"514"
300;40461;"Credit";"4539217764805224";"2026-11-22";"739"
301;20659;"Debit";"4089679743634179";"2030-09-15";"198"
302;18910;"Debit";"501829296588";"2026-02-22";"605"
303;14161;"Debit";"3519209391339996";"2030-03-25";"847"
304;19655;"Credit";"630464229156";"2028-04-22";"153"
305;26290;"Credit";"30461785882646";"2027-05-24";"974"
306;49441;"Credit";"30467396621752";"2026-01-29";"948"
307;1517;"Debit";"3586719600843909";"2029-04-18";"536"
308;21921;"Credit";"567431630522";"2027-04-16";"704"
309;822;"Debit";"6575698722620716";"2030-04-16";"620"
310;49907;"Debit";"379230388630770";"2027-10-09";"729"
311;46412;"Credit";"4399499901984269232";"2028-11-05";"550"
312;26135;"Debit";"379371601668989";"2030-01-20";"161"
313;17861;"Debit";"501828530847";"2028-04-29";"982"
314;14341;"Credit";"2441761860029172";"2026-06-16";"731"
315;30836;"Credit";"630422134175";"2026-12-18";"448"
316;2181;"Debit";"639074016002";"2028-10-30";"229"
317;15347;"Debit";"4202630096883014";"2029-11-26";"930"
318;32906;"Debit";"4892848680084";"2029-11-17";"958"
319;36038;"Debit";"567299240984";"2026-07-21";"854"
320;16420;"Credit";"3561835959911151";"2029-07-04";"250"
321;19220;"Debit";"3558723888249023";"2027-02-23";"332"
322;3953;"Debit";"3569421746891741";"2026-12-09";"907"
323;4277;"Credit";"3582940575888729";"2026-02-27";"664"
324;43880;"Credit";"2280475164626237";"2030-02-20";"446"
325;30653;"Debit";"4380442377699258836";"2030-09-09";"924"
326;35454;"Credit";"630426221358";"2027-11-23";"905"
327;1561;"Debit";"180060364202420";"2026-02-21";"799"
328;46871;"Credit";"3543124357286158";"2030-03-06";"167"
329;32978;"Debit";"060420744413";"2026-11-14";"544"
330;16887;"Credit";"3562778568198878";"2028-08-06";"910"
331;12398;"Credit";"4815434392487250";"2029-04-22";"208"
332;39918;"Credit";"3512592313919715";"2026-07-09";"525"
333;42882;"Credit";"213181457554567";"2027-03-14";"625"
334;39630;"Credit";"676346482364";"2028-12-06";"690"
335;20634;"Debit";"4224895337907";"2030-03-12";"701"
336;33515;"Credit";"213122141417340";"2029-09-13";"711"
337;16233;"Debit";"4243243148770816";"2027-08-22";"120"
338;29872;"Debit";"5490142069052898";"2029-06-25";"224"
339;29581;"Debit";"4545598176022";"2029-07-19";"211"
340;5791;"Credit";"676292154447";"2028-02-14";"711"
341;9084;"Debit";"2712132262255140";"2029-11-21";"730"
342;32044;"Debit";"5480422471987150";"2026-12-23";"970"
343;45340;"Debit";"2281615362815723";"2030-04-08";"916"
344;17923;"Debit";"346629818160185";"2030-09-03";"125"
345;28731;"Credit";"374174815093282";"2027-06-11";"450"
346;25892;"Debit";"2288549330806543";"2028-07-15";"265"
347;42684;"Credit";"4749395446868816642";"2028-03-13";"871"
348;10589;"Debit";"4707472967622118";"2027-11-22";"617"
349;42852;"Credit";"344349062934985";"2026-02-07";"635"
350;45090;"Credit";"563478431106";"2026-01-20";"414"
351;28221;"Credit";"4329748776522";"2027-05-17";"808"
352;30218;"Credit";"4056509477742535";"2026-05-01";"435"
353;27663;"Debit";"4488286616984044603";"2029-04-15";"214"
354;33118;"Debit";"36660570976752";"2030-07-19";"328"
355;9879;"Debit";"4430109592456";"2029-11-30";"659"
356;44564;"Debit";"4228141560633182";"2027-04-02";"311"
357;41325;"Debit";"4734323771006";"2027-09-18";"831"
358;9861;"Debit";"2253821076011724";"2026-06-08";"564"
359;27903;"Debit";"3541356770158836";"2026-11-26";"599"
360;42018;"Debit";"180097456817087";"2027-07-01";"925"
361;4285;"Debit";"3599163332278693";"2029-03-10";"498"
362;14811;"Debit";"3578814927403600";"2026-02-27";"233"
363;43380;"Debit";"180046280012944";"2027-07-24";"748"
364;21132;"Credit";"30534615012368";"2027-05-13";"805"
365;42172;"Debit";"4994939247490";"2025-12-25";"962"
366;39249;"Credit";"6011284776947446";"2026-02-16";"779"
367;14574;"Credit";"38114840939974";"2026-08-11";"177"
368;244;"Debit";"372968450807845";"2027-11-23";"687"
369;26721;"Credit";"36596112823757";"2027-12-31";"902"
370;29855;"Credit";"379121253504903";"2029-04-09";"586"
371;12863;"Debit";"3559925099399344";"2026-08-30";"178"
372;18353;"Credit";"3537091878848576";"2026-05-31";"861"
373;26011;"Credit";"346305888280258";"2026-01-30";"933"
374;12030;"Debit";"213197937646161";"2030-08-23";"142"
375;43383;"Debit";"4745592002788436";"2026-07-10";"891"
376;22446;"Credit";"4214567728373426";"2026-09-11";"219"
377;4277;"Debit";"503862772905";"2029-07-31";"149"
378;6581;"Debit";"4748221629031475758";"2029-07-04";"782"
379;10100;"Credit";"676241660650";"2030-07-30";"732"
380;24085;"Credit";"2282715636863274";"2027-02-03";"939"
381;6120;"Debit";"5459235995587935";"2027-03-18";"584"
382;34475;"Credit";"180089620148473";"2027-06-12";"143"
383;21271;"Credit";"4390971348729452";"2030-10-27";"965"
384;18226;"Credit";"30533059952238";"2028-02-26";"723"
385;41906;"Debit";"4853891866722686007";"2028-03-14";"402"
386;35898;"Debit";"6011638189721229";"2030-07-22";"385"
387;5239;"Debit";"345089810995172";"2029-02-20";"529"
388;33601;"Debit";"374081994928388";"2026-11-21";"628"
389;23618;"Credit";"676135601315";"2029-12-31";"361"
390;7640;"Credit";"3515238129366397";"2029-07-13";"451"
391;21754;"Credit";"180026347458751";"2025-12-11";"778"
392;737;"Debit";"3593429884580315";"2027-04-03";"969"
393;47038;"Credit";"676201309868";"2027-02-24";"362"
394;13621;"Credit";"4530279820881155193";"2030-03-24";"567"
395;29315;"Credit";"30382536591718";"2028-12-07";"774"
396;13150;"Debit";"4212747100383";"2027-04-11";"990"
397;3340;"Debit";"4596694623585796173";"2029-06-15";"309"
398;6426;"Debit";"4141505893105455972";"2027-10-08";"204"
399;37440;"Debit";"6528029827269142";"2028-01-06";"662"
400;9571;"Debit";"213189167797814";"2025-12-17";"474"
401;14550;"Debit";"6596614930628727";"2028-05-28";"302"
402;6394;"Debit";"375259902341717";"2029-12-06";"574"
403;29925;"Debit";"180026538399566";"2029-01-01";"429"
404;14252;"Debit";"5552133199016510";"2028-09-26";"906"
405;4794;"Credit";"4131007315434";"2030-09-29";"283"
406;39589;"Debit";"3533172617235004";"2026-10-18";"401"
407;38769;"Debit";"6523061133635299";"2027-04-14";"527"
408;7941;"Credit";"582730237580";"2028-06-11";"117"
409;20954;"Credit";"4560545073541680";"2029-11-05";"158"
410;19573;"Debit";"3555889635449092";"2027-05-25";"383"
411;43802;"Credit";"3554559959865584";"2027-02-06";"930"
412;1038;"Debit";"213116197024497";"2030-05-13";"659"
413;27652;"Credit";"4802122197733379749";"2029-09-28";"206"
414;10225;"Credit";"6580054078088889";"2030-06-25";"970"
415;46433;"Credit";"4754898463184777";"2028-05-10";"360"
416;33550;"Debit";"676210549165";"2028-03-31";"549"
417;43160;"Credit";"2264239526385290";"2027-08-22";"401"
418;24768;"Credit";"3564090991229082";"2026-08-11";"544"
419;21025;"Debit";"2718940138940859";"2026-09-14";"983"
420;36261;"Debit";"6011066849726489";"2030-10-15";"561"
421;15235;"Credit";"6011186447476632";"2028-05-15";"265"
422;34391;"Credit";"2572192161018782";"2028-12-16";"231"
423;10811;"Credit";"30329444883257";"2029-01-09";"401"
424;22386;"Debit";"180043828458390";"2028-11-24";"428"
425;30564;"Credit";"3513945352434310";"2027-02-01";"150"
426;10240;"Debit";"213152043810805";"2027-06-09";"906"
427;24708;"Debit";"639027816938";"2027-11-21";"390"
428;49213;"Credit";"349703982671553";"2028-12-14";"458"
429;293;"Debit";"4477942938677";"2026-02-24";"415"
430;40391;"Credit";"4708472553639";"2028-06-16";"663"
431;32784;"Debit";"4771016391114";"2028-02-19";"574"
432;35671;"Debit";"4570276080031";"2030-09-01";"792"
433;32390;"Credit";"4958327723958";"2029-06-12";"280"
434;19696;"Credit";"6581291414323344";"2030-07-13";"535"
435;47499;"Credit";"213195038112083";"2028-05-30";"468"
436;31298;"Credit";"341164919613390";"2026-04-18";"819"
437;38135;"Credit";"4528200285184975";"2028-04-22";"947"
438;20858;"Debit";"373131746087693";"2026-10-20";"416"
439;38741;"Credit";"36301857608921";"2030-10-22";"501"
440;39949;"Credit";"180029724058301";"2030-01-20";"673"
441;47891;"Debit";"6515618709062925";"2030-01-26";"429"
442;15428;"Credit";"4008456697175774";"2028-12-14";"704"
443;31954;"Debit";"4557528753431021";"2030-02-05";"914"
444;43339;"Debit";"565733199915";"2026-05-25";"173"
445;19267;"Debit";"4052768402114";"2027-05-13";"540"
446;24335;"Credit";"5370151753117565";"2030-02-28";"148"
447;47656;"Credit";"4365939209642";"2030-12-03";"742"
448;31256;"Credit";"5257844367788296";"2026-05-13";"835"
449;29612;"Debit";"3500036726861654";"2030-05-16";"994"
450;33079;"Credit";"3518181532979116";"2026-11-05";"377"
451;3952;"Credit";"4174299357462530";"2030-07-10";"156"
452;32397;"Debit";"676146517070";"2026-12-04";"472"
453;25004;"Credit";"3599916999411885";"2028-09-23";"762"
454;14160;"Credit";"2335161404271290";"2029-07-05";"190"
455;41055;"Debit";"3544252123955290";"2026-06-15";"638"
456;39741;"Credit";"3508468808109474";"2029-06-11";"590"
457;3348;"Debit";"676235173934";"2028-07-19";"318"
458;24685;"Debit";"4654336826078";"2029-06-28";"935"
459;41833;"Debit";"3587774468241869";"2027-12-20";"287"
460;16268;"Credit";"30253043059806";"2030-11-08";"463"
461;32498;"Debit";"4156589962060378";"2026-08-14";"848"
462;46775;"Debit";"3595002602541097";"2028-10-12";"751"
463;17969;"Credit";"503846381062";"2030-07-04";"167"
464;16156;"Credit";"4705931486785088";"2029-07-10";"116"
465;12364;"Debit";"341097255236600";"2029-01-25";"379"
466;41905;"Debit";"3582379907869968";"2028-04-04";"384"
467;23953;"Debit";"3584015655768212";"2029-01-05";"842"
468;43053;"Credit";"4772104757256241";"2026-08-18";"729"
469;38262;"Debit";"2399753857228695";"2027-04-02";"990"
470;48184;"Debit";"4081186166812152123";"2026-01-04";"945"
471;41365;"Debit";"373989573270256";"2029-02-27";"691"
